Time,Close,Open,High,Low,Volume
2004-03-10,1678.07,1639.68,1678.4,1639.68,1660000000
2004-03-09,1637.1,1636.21,1659.65,1634.71,1620000000
2004-03-08,1637.14,1660.64,1665.73,1635.44,1560000000
2004-03-05,1662.1,1671.06,1675.03,1660.21,1610000000
2004-03-04,1668.87,1658.63,1670.16,1642.62,1790000000
2004-03-03,1661.81,1686.96,1688.93,1654.56,1920000000
2004-03-02,1687.28,1692.62,1694.82,1677.98,2050000000
2004-03-01,1689.76,1676.22,1690.07,1661.34,2000000000
2004-02-27,1675.07,1657.26,1675.32,1657.04,1970000000
2004-02-26,1654.9,1642.41,1655.3,1628.84,2310000000
2004-02-25,1647.38,1684.9,1700.5,1642.69,2460000000
2004-02-24,1682.3,1675.63,1683.04,1650.18,2700000000
2004-02-23,1681.65,1725.59,1730.28,1680.89,2860000000
2004-02-20,1721.75,1715.81,1722.57,1702.93,2340000000
2004-02-19,1717.02,1719.31,1728.02,1710.71,2730000000
2004-02-18,1717.1,1704.74,1719.89,1697.32,2920000000
2004-02-17,1703.77,1701.41,1710.86,1693.96,2980000000
2004-02-16,1696.83,1661.45,1697.26,1661.45,2300000000
2004-02-13,1658.54,1664.6,1672.44,1653.24,2270000000
2004-02-12,1663.83,1679.08,1693.01,1660.31,2710000000
2004-02-11,1677.76,1691.61,1692.9,1660.01,2660000000
2004-02-10,1691.01,1708.9,1715.46,1683.6,2750000000
2004-02-09,1703.53,1679.58,1703.77,1679.1,2620000000
2004-02-06,1679.19,1690.56,1705.91,1671.4,3390000000
2004-02-05,1693.43,1690.94,1693.9,1674.62,3260000000
2004-02-04,1685.16,1652.61,1685.77,1652.61,3260000000
2004-02-03,1649.28,1625.29,1650.24,1615.81,2660000000
2004-02-02,1623.88,1630.65,1650.29,1585.96,3460000000
2004-01-30,1590.73,1631.11,1634.41,1589.4,2410000000
2004-01-29,1628.84,1605.25,1629.18,1603.31,1850000000
2004-01-16,1600.42,1589.38,1604.76,1579.24,2050000000
2004-01-15,1586.49,1591.82,1601.41,1582.36,1880000000
2004-01-14,1592.42,1612.92,1613.15,1585.91,2050000000
2004-01-13,1612.68,1622.05,1627.49,1596.72,2590000000
2004-01-12,1618.52,1579.88,1619.09,1573.77,2300000000
2004-01-09,1581.47,1612.39,1618.76,1579.69,3210000000
2004-01-08,1610.13,1587.45,1616.58,1582.88,2840000000
2004-01-07,1587.2,1574.1,1595,1565.09,3050000000
2004-01-06,1574.52,1568.9,1589.08,1557.93,3270000000
2004-01-05,1568.35,1516.8,1568.82,1516.7,2860000000
2004-01-02,1517.19,1492.72,1526.24,1491.69,1670000000
2003-12-31,1497.04,1513.62,1516.52,1491.25,1460000000
2003-12-30,1511.69,1495.67,1513.73,1495.39,1520000000
2003-12-29,1496.43,1509.28,1512.97,1495.54,1410000000
2003-12-26,1514.78,1513.11,1516.48,1504.13,573740000
2003-12-25,1512.6,1514.93,1525.3,1504.25,2050000000
2003-12-24,1513.83,1501.36,1514.32,1498.98,2050000000
2003-12-23,1500.64,1497.57,1507.04,1487.12,2440000000
2003-12-22,1492.96,1444.17,1493.54,1441.59,2660000000
2003-12-19,1446.29,1463.45,1470.21,1429.71,2360000000
2003-12-18,1457.3,1450.85,1458.67,1445.08,1400000000
2003-12-17,1453.99,1465.61,1480.43,1453.88,1680000000
2003-12-16,1466.34,1469.12,1469.13,1441.06,1610000000
2003-12-15,1470.36,1471.24,1474.67,1465.51,1110000000
2003-12-12,1470.79,1469.7,1472.86,1459.55,1470000000
2003-12-11,1470.02,1472.38,1475.38,1460.19,1850000000
2003-12-10,1469.42,1449.57,1469.71,1448.5,2000000000
2003-12-09,1443.37,1435.1,1443.61,1429.06,1090000000
2003-12-08,1436.66,1452.11,1459.48,1435.14,1330000000
2003-12-05,1451.12,1454.41,1456.87,1440.79,1490000000
2003-12-04,1452.81,1445.4,1454.32,1440.82,1830000000
2003-12-03,1445.03,1434.7,1462.07,1424.35,2150000000
2003-12-02,1435.31,1437.24,1444.57,1430.24,1940000000
2003-12-01,1432.7,1398.71,1432.82,1398.71,1810000000
2003-11-28,1397.22,1388.31,1401.46,1385.82,1200000000
2003-11-27,1389.1,1412.31,1415.74,1387.79,1500000000
2003-11-26,1411.91,1407.3,1413.77,1398.03,1660000000
2003-11-25,1408.41,1407.76,1423.58,1400.9,2520000000
2003-11-24,1404.01,1360.33,1404.25,1360.23,1850000000
2003-11-21,1361.56,1379.94,1394.57,1359.9,2010000000
2003-11-20,1376.51,1338.6,1377.12,1336.14,2040000000
2003-11-19,1338.87,1313.84,1341.56,1312.56,1020000000
2003-11-18,1316.56,1334.65,1336.1,1314.99,1480000000
2003-11-17,1328.1,1330.49,1333.41,1323.68,586150000
2003-11-14,1331.05,1318.72,1331.42,1312.79,750800000
2003-11-13,1319.61,1313.93,1324.98,1307.39,837040000
2003-11-12,1317.79,1341.57,1341.58,1316.85,951490000
2003-11-11,1343.62,1340.32,1350.39,1331.12,903910000
2003-11-10,1340.1,1330.96,1340.87,1322.05,830980000
2003-11-07,1335.2,1353.43,1353.45,1323.12,1450000000
2003-11-06,1356.79,1384.67,1385.84,1351.1,1650000000
2003-11-05,1385.11,1389.72,1396.86,1375.99,1460000000
2003-11-04,1389.55,1363.96,1412.91,1363.9,2390000000
2003-11-03,1364.06,1346.48,1367.34,1339.96,1050000000
2003-10-31,1348.3,1341.5,1364.66,1334.78,998750000
2003-10-30,1344.63,1360.02,1360.07,1340.29,878710000
2003-10-29,1361.49,1372.35,1375.91,1344.42,1320000000
2003-10-28,1369.33,1366,1382.6,1356.49,1010000000
2003-10-27,1369.46,1381.84,1383.6,1361.19,798650000
2003-10-24,1381.83,1385.9,1389.88,1376.71,880200000
2003-10-23,1386.65,1398.59,1407.39,1384.64,1010000000
2003-10-22,1398.01,1366.11,1403.1,1363.09,1510000000
2003-10-21,1364.3,1359.51,1364.61,1350.21,708050000
2003-10-20,1359.5,1369.71,1370.49,1355.55,535720000
2003-10-17,1370.58,1365.31,1375.66,1362.41,528550000
2003-10-16,1365.51,1381.46,1382.53,1362.98,585890000
2003-10-15,1383.1,1388.24,1401.54,1380.81,671020000
2003-10-14,1388.17,1399.84,1400.75,1382.48,636750000
2003-10-13,1399.66,1405.33,1411.88,1397.69,846500000
2003-10-10,1404.01,1369,1406,1367.11,1260000000
